device_sn,sensor_model,sensor,sensor_type,port,site,site_code,basin,location,depth_height_m
z6-19484,ATMOS41,ATM-410008161,atmos,1,Old Main,om,,T,2.1
z6-19484,TEROS12,T12-00125020,t12,2,Old Main,om,y,OMBAE15,-0.15
z6-19484,TEROS21,T21G20018890,t21,3,Old Main,om,y,OMBAE15,-0.15
z6-19484,TEROS12,T12-00125824,t12,4,Old Main,om,y,OMBAE50,-0.5
z6-19484,TEROS12,T12-00118462,t12,5,Old Main,om,n,OMHGW50,-0.5
z6-19484,TEROS12,T12-00118460,t12,6,Old Main,om,n,OMHGW15,-0.15
z6-19485,TEROS21,T21G20018873,t21,1,Old Main,om,y,OMBAW15,-0.15
z6-19485,TEROS12,T12-00123508,t12,2,Old Main,om,y,OMBAW50,-0.5
z6-19485,TEROS12,T12-00127382,t12,3,Old Main,om,y,OMBAW15,-0.15
z6-19485,TEROS12,T12-00120851,t12,4,Old Main,om,n,OMHGE50,-0.5
z6-19485,TEROS12,T12-00120852,t12,5,Old Main,om,n,OMHGE15,-0.15
z6-19485,,,,6,Old Main,om,,,
z6-20761,ATMOS41,ATM-410008162,atmos,1,Gould Simpson,gs,,T,2.1
z6-20761,TEROS12,T12-00119137,t12,2,Gould Simpson,gs,y,GSBAE15,-0.15
z6-20761,TEROS12,T12-00118459,t12,3,Gould Simpson,gs,y,GSBAE50,-0.5
z6-20761,TEROS12,T12-00118455,t12,4,Gould Simpson,gs,y,GSBAS15,-0.15
z6-20761,TEROS12,T12-00118456,t12,5,Gould Simpson,gs,y,GSBAS50,-0.5
z6-20761,,,,6,Gould Simpson,gs,,,
z6-20764,TEROS21,T21G20018882,t21,1,Gould Simpson,gs,y,GSBAW15,-0.15
z6-20764,TEROS12,T12-00120850,t12,2,Gould Simpson,gs,y,GSBAW15,-0.15
z6-20764,TEROS12,T12-00120853,t12,3,Gould Simpson,gs,y,GSBAW50,-0.5
z6-20764,TEROS21,T21G20018879,t21,4,Gould Simpson,gs,y,GSBAS15,-0.15
z6-20764,TEROS12,T12-00119265,t12,5,Gould Simpson,gs,n,GSHGE15,-0.15
z6-20764,TEROS12,T12-00119587,t12,6,Gould Simpson,gs,n,GSHGE50,-0.5
z6-20762,ATMOS41,ATM-410007711,atmos,1,Physics and Atmospheric Sciences ,pas,,T,2.1
z6-20762,TEROS12,T12-00119858,t12,2,Physics and Atmospheric Sciences ,pas,y,PASBAW15,-0.15
z6-20762,TEROS12,T12-00119853,t12,3,Physics and Atmospheric Sciences ,pas,y,PASBAW50,-0.5
z6-20762,TEROS12,T12-00120849,t12,4,Physics and Atmospheric Sciences ,pas,n,PASHGW50,-0.5
z6-20762,TEROS12,T12-00120860,t12,5,Physics and Atmospheric Sciences ,pas,n,PASHGW15,-0.15
z6-20762, ,,,6,Physics and Atmospheric Sciences ,pas,,,
z6-20763,TEROS12,T12-00120783,t12,1,Physics and Atmospheric Sciences ,pas,y,PASBAE15,-0.15
z6-20763,TEROS12,T12-00120784,t12,2,Physics and Atmospheric Sciences ,pas,y,PASBAE50,-0.5
z6-20763,TEROS12,T12-00125019,t12,3,Physics and Atmospheric Sciences ,pas,n,PASHGE15,-0.15
z6-20763,TEROS12,T12-00125022,t12,4,Physics and Atmospheric Sciences ,pas,n,PASHGE50,-0.5
z6-20763,,,,5,Physics and Atmospheric Sciences ,pas,,,
z6-20763,,,,6,Physics and Atmospheric Sciences ,pas,,,
